Feature,Precision_Clase_0,Recall_Clase_0,F1_Clase_0,Precision_Clase_1,Recall_Clase_1,F1_Clase_1,Accuracy,AUC_ROC
+0.5cd8+5.0cd4-3.0cd11b_gr1,0.6264,0.645333333,0.598711255,0.399880952,0.445,0.381625397,0.569095238,0.545166667
+5.5cd8+4.0cd4+2.5cd11b_gr1,0.522066667,0.196666667,0.273126984,0.405728571,0.893666667,0.551926984,0.464619048,0.545166667
-0.5cd8+5.5cd4-3.5cd11b_gr1,0.63137619,0.651833333,0.603803896,0.383071429,0.438333333,0.373146032,0.571047619,0.545083333
+1.0cd8+3.0cd4-3.5cd11b_gr1,0.630742857,0.633833333,0.596325253,0.415004762,0.456333333,0.39424127,0.564142857,0.545083333
+1.5cd8-5.0cd4-2.0cd11b_gr1,0.4504,0.168833333,0.228896825,0.397204762,0.921333333,0.549953968,0.460761905,0.545083333
-6.0cd8+3.5cd4+1.5cd11b_gr1,0.620919048,0.8555,0.713435498,0.432333333,0.234666667,0.29044127,0.617952381,0.545083333
-0.5cd8-4.0cd4+2.5cd11b_gr1,0.626404762,0.641833333,0.597314286,0.403014286,0.448333333,0.38475873,0.568428571,0.545083333
+0.5cd8-6.0cd4+4.0cd11b_gr1,0.63152381,0.649833333,0.603194805,0.385404762,0.440333333,0.375279365,0.570666667,0.545083333
+0.5cd8-3.0cd4+2.0cd11b_gr1,0.614566667,0.6545,0.599158874,0.384204762,0.435666667,0.370069841,0.572857143,0.545083333
+1.0cd8-6.0cd4+4.0cd11b_gr1,0.614566667,0.6545,0.599158874,0.384204762,0.435666667,0.370069841,0.572857143,0.545083333
+1.0cd8-5.0cd4+3.5cd11b_gr1,0.614542857,0.6545,0.599157864,0.385204762,0.435666667,0.370403175,0.572809524,0.545083333
+1.0cd8-4.5cd4+3.0cd11b_gr1,0.614566667,0.6545,0.599158874,0.384204762,0.435666667,0.370069841,0.572857143,0.545083333
+1.5cd8-6.0cd4+4.0cd11b_gr1,0.614566667,0.6545,0.599158874,0.384204762,0.435666667,0.370069841,0.572857143,0.545083333
-1.0cd8+4.0cd4-1.0cd11b_gr1,0.6238,0.4295,0.47277619,0.416052381,0.660333333,0.481946032,0.517571429,0.544916667
-0.5cd8+2.0cd4-0.5cd11b_gr1,0.6238,0.4295,0.47277619,0.416052381,0.660333333,0.481946032,0.517571429,0.544916667
+2.5cd8-3.0cd4-3.0cd11b_gr1,0.581209524,0.259833333,0.340438672,0.407671429,0.83,0.538511111,0.47952381,0.544916667
+5.0cd8-6.0cd4-6.0cd11b_gr1,0.581209524,0.259833333,0.340438672,0.407671429,0.83,0.538511111,0.47952381,0.544916667
+4.5cd8+4.0cd4+3.0cd11b_gr1,0.509566667,0.167,0.243193651,0.406380952,0.922666667,0.558920635,0.457904762,0.544833333
-4.5cd8-2.5cd4-6.0cd11b_gr1,0.577733333,0.311,0.384014286,0.409157143,0.778666667,0.524492063,0.492238095,0.544833333
-4.0cd8-2.5cd4-6.0cd11b_gr1,0.577733333,0.311,0.384014286,0.409157143,0.778666667,0.524492063,0.492238095,0.544833333
-1.0cd8+0.5cd4-4.5cd11b_gr1,0.628733333,0.411666667,0.468344444,0.411728571,0.678,0.493260317,0.516857143,0.544833333
+0.5cd8-4.0cd4+5.5cd11b_gr1,0.614595238,0.741,0.650467821,0.365147619,0.348666667,0.325565079,0.592380952,0.544833333
+1.0cd8-0.5cd4+4.5cd11b_gr1,0.628733333,0.411666667,0.468344444,0.411728571,0.678,0.493260317,0.516857143,0.544833333
-1.0cd8+4.5cd4-3.0cd11b_gr1,0.614295238,0.657,0.600022511,0.381071429,0.432333333,0.366936508,0.572857143,0.544666667
-1.0cd8+5.0cd4-3.5cd11b_gr1,0.614271429,0.657,0.600021501,0.382071429,0.432333333,0.367269841,0.572809524,0.544666667
-0.5cd8+3.0cd4-2.0cd11b_gr1,0.614295238,0.657,0.600022511,0.381071429,0.432333333,0.366936508,0.572857143,0.544666667
+0.5cd8+4.0cd4-2.5cd11b_gr1,0.626133333,0.644333333,0.598177922,0.399880952,0.445,0.381625397,0.568428571,0.544666667
+4.5cd8-0.5cd4-2.5cd11b_gr1,0.65522381,0.581333333,0.577581241,0.397466667,0.508,0.415374603,0.550761905,0.544666667
-0.5cd8-4.0cd4-1.5cd11b_gr1,0.5427,0.215833333,0.293785714,0.405219048,0.873,0.546611111,0.471285714,0.544416667
+0.5cd8-4.0cd4+2.5cd11b_gr1,0.631990476,0.6485,0.602904329,0.383538095,0.440333333,0.374990476,0.57,0.544416667
-5.0cd8-5.0cd4-3.0cd11b_gr1,0.5151,0.185166667,0.262266667,0.408309524,0.903666667,0.556250794,0.461619048,0.544416667
-2.5cd8-2.5cd4-1.5cd11b_gr1,0.5151,0.185166667,0.262266667,0.408309524,0.903666667,0.556250794,0.461619048,0.544416667
-1.0cd8-3.0cd4+3.5cd11b_gr1,0.63007619,0.632333333,0.595134776,0.414138095,0.456333333,0.39371746,0.563285714,0.544333333
+0.5cd8-2.5cd4+5.5cd11b_gr1,0.638495238,0.493666667,0.508668398,0.382252381,0.595,0.43335873,0.532142857,0.544333333
-6.0cd8-5.0cd4-3.0cd11b_gr1,0.499066667,0.181333333,0.256388889,0.408895238,0.907,0.557560317,0.460428571,0.544166667
-3.0cd8-2.5cd4-1.5cd11b_gr1,0.499066667,0.181333333,0.256388889,0.408895238,0.907,0.557560317,0.460428571,0.544166667
+2.0cd8+1.5cd4+5.0cd11b_gr1,0.578933333,0.321666667,0.392968254,0.41342381,0.766666667,0.524473016,0.494761905,0.544166667
+2.0cd8+1.5cd4+5.5cd11b_gr1,0.578933333,0.321666667,0.392968254,0.41342381,0.766666667,0.524473016,0.494761905,0.544166667
+2.0cd8+2.5cd4+4.5cd11b_gr1,0.5889,0.320333333,0.393804762,0.418490476,0.768,0.528206349,0.493809524,0.544166667
-2.0cd8+0.5cd4-6.0cd11b_gr1,0.6314,0.356,0.428639683,0.400185714,0.732333333,0.505553968,0.501333333,0.544166667
+0.5cd8+4.5cd4-5.5cd11b_gr1,0.623328571,0.687833333,0.618122511,0.368214286,0.400333333,0.345177778,0.578714286,0.544083333
+1.0cd8-1.0cd4+5.5cd11b_gr1,0.646933333,0.4285,0.48644127,0.407657143,0.659666667,0.486606349,0.519857143,0.544083333
+2.5cd8-6.0cd4+5.0cd11b_gr1,0.590166667,0.7085,0.622479509,0.405085714,0.379666667,0.350752381,0.582857143,0.544083333
-0.5cd8-2.5cd4+3.5cd11b_gr1,0.623342857,0.593166667,0.568618903,0.417447619,0.494666667,0.411847619,0.555238095,0.543916667
-0.5cd8+4.0cd4-2.5cd11b_gr1,0.63157619,0.6495,0.602980087,0.381204762,0.438333333,0.372857143,0.569714286,0.543916667
+0.5cd8+2.5cd4-3.5cd11b_gr1,0.623342857,0.593166667,0.568618903,0.417447619,0.494666667,0.411847619,0.555238095,0.543916667
-1.5cd8+5.5cd4-3.0cd11b_gr1,0.647919048,0.511666667,0.531291631,0.410733333,0.576,0.446388889,0.536714286,0.543833333
+5.0cd8+4.5cd4+3.5cd11b_gr1,0.507566667,0.166333333,0.242193651,0.405680952,0.921333333,0.557992063,0.456904762,0.543833333
+5.0cd8+5.5cd4+3.0cd11b_gr1,0.536633333,0.214333333,0.291149206,0.407161905,0.873333333,0.547920635,0.470571429,0.543833333
-4.5cd8-4.0cd4-3.0cd11b_gr1,0.507566667,0.168,0.243593651,0.404704762,0.919333333,0.556747619,0.457666667,0.543666667
+1.5cd8+1.0cd4+3.5cd11b_gr1,0.5756,0.317666667,0.389368254,0.413157143,0.769666667,0.525044444,0.493095238,0.543666667
-1.0cd8-3.5cd4+4.5cd11b_gr1,0.62937619,0.598833333,0.575398268,0.408714286,0.488333333,0.406596825,0.555238095,0.543583333
+1.0cd8+3.5cd4-4.5cd11b_gr1,0.62937619,0.598833333,0.575398268,0.408714286,0.488333333,0.406596825,0.555238095,0.543583333
-4.5cd8+2.5cd4-4.0cd11b_gr1,0.59892381,0.704166667,0.635243146,0.442057143,0.383,0.379719048,0.583809524,0.543583333
+4.0cd8+4.5cd4+2.5cd11b_gr1,0.5373,0.209833333,0.286768254,0.403361905,0.877333333,0.546149206,0.468571429,0.543583333
-2.5cd8+3.0cd4+3.0cd11b_gr1,0.579209524,0.258833333,0.339105339,0.406671429,0.828,0.537177778,0.478190476,0.543416667
-0.5cd8-6.0cd4-1.5cd11b_gr1,0.565309524,0.402833333,0.437441847,0.421847619,0.684,0.493447619,0.514571429,0.543416667
-3.0cd8+0.5cd4-6.0cd11b_gr1,0.623466667,0.3475,0.41858254,0.39492381,0.739333333,0.503607937,0.499095238,0.543416667
-2.0cd8-1.0cd4-6.0cd11b_gr1,0.621633333,0.3425,0.419273016,0.41462381,0.744333333,0.519698413,0.497761905,0.543416667
-1.5cd8-1.5cd4-5.5cd11b_gr1,0.589533333,0.3345,0.404965079,0.415557143,0.752333333,0.521631746,0.496380952,0.543416667
-1.0cd8-1.0cd4-3.5cd11b_gr1,0.589533333,0.3345,0.404965079,0.415557143,0.752333333,0.521631746,0.496380952,0.543416667
-1.0cd8-0.5cd4-4.0cd11b_gr1,0.621633333,0.3425,0.419273016,0.41462381,0.744333333,0.519698413,0.497761905,0.543416667
-1.0cd8-0.5cd4-3.5cd11b_gr1,0.621633333,0.3425,0.419273016,0.41462381,0.744333333,0.519698413,0.497761905,0.543416667
-1.0cd8-0.5cd4-3.0cd11b_gr1,0.621633333,0.3425,0.419273016,0.41462381,0.744333333,0.519698413,0.497761905,0.543416667
+1.0cd8+0.5cd4+3.0cd11b_gr1,0.621633333,0.3425,0.419273016,0.41462381,0.744333333,0.519698413,0.497761905,0.543416667
+1.0cd8+0.5cd4+3.5cd11b_gr1,0.621633333,0.3425,0.419273016,0.41462381,0.744333333,0.519698413,0.497761905,0.543416667
+1.0cd8+0.5cd4+4.0cd11b_gr1,0.621633333,0.3425,0.419273016,0.41462381,0.744333333,0.519698413,0.497761905,0.543416667
-0.5cd8+2.5cd4-5.5cd11b_gr1,0.637828571,0.491666667,0.507468398,0.382252381,0.595,0.43335873,0.530809524,0.543333333
+0.5cd8+4.0cd4+1.5cd11b_gr1,0.539533333,0.215333333,0.292957143,0.405019048,0.871333333,0.546119048,0.470952381,0.543333333
-2.5cd8-1.5cd4-4.0cd11b_gr1,0.5774,0.306,0.379633333,0.407657143,0.780666667,0.52398254,0.489714286,0.543333333
+1.5cd8+5.0cd4+2.0cd11b_gr1,0.548533333,0.258666667,0.326580952,0.404666667,0.828,0.531711111,0.48347619,0.543333333
-1.5cd8-4.0cd4-1.5cd11b_gr1,0.548033333,0.241,0.311569841,0.39402381,0.845333333,0.528495238,0.475238095,0.543166667
+2.5cd8-3.5cd4+5.5cd11b_gr1,0.586804762,0.584,0.551351515,0.425652381,0.502333333,0.414428571,0.553285714,0.543166667
+2.5cd8+1.5cd4+5.0cd11b_gr1,0.574933333,0.316666667,0.388415873,0.41282381,0.769666667,0.524777778,0.492428571,0.543166667
+2.5cd8+1.5cd4+5.5cd11b_gr1,0.574933333,0.316666667,0.388415873,0.41282381,0.769666667,0.524777778,0.492428571,0.543166667
+2.5cd8+2.0cd4+5.5cd11b_gr1,0.576266667,0.317666667,0.38955873,0.412690476,0.768666667,0.524434921,0.492761905,0.543166667
-1.0cd8-5.5cd4+3.5cd11b_gr1,0.627980952,0.649833333,0.601846609,0.395714286,0.436333333,0.375047619,0.568714286,0.543083333
-2.0cd8-3.0cd4-6.0cd11b_gr1,0.5836,0.315833333,0.389130159,0.419957143,0.770333333,0.530049206,0.492190476,0.543083333
-1.0cd8-1.5cd4-3.0cd11b_gr1,0.5836,0.315833333,0.389130159,0.419957143,0.770333333,0.530049206,0.492190476,0.543083333
-0.5cd8+1.0cd4-6.0cd11b_gr1,0.646066667,0.436166667,0.489793651,0.409680952,0.65,0.483650794,0.520952381,0.543083333
-0.5cd8+1.0cd4-5.5cd11b_gr1,0.646066667,0.436166667,0.489793651,0.409680952,0.65,0.483650794,0.520952381,0.543083333
+0.5cd8-1.0cd4+5.5cd11b_gr1,0.646066667,0.436166667,0.489793651,0.409680952,0.65,0.483650794,0.520952381,0.543083333
+1.0cd8+1.0cd4+3.5cd11b_gr1,0.589533333,0.3345,0.404965079,0.415257143,0.751666667,0.521250794,0.496285714,0.543083333
+1.5cd8+1.5cd4+5.5cd11b_gr1,0.589533333,0.3345,0.404965079,0.415257143,0.751666667,0.521250794,0.496285714,0.543083333
+4.0cd8-2.5cd4-1.0cd11b_gr1,0.617209524,0.844833333,0.707176912,0.4355,0.241333333,0.295955556,0.61347619,0.543083333
+5.0cd8-1.5cd4-0.5cd11b_gr1,0.609209524,0.8055,0.681705483,0.426847619,0.280333333,0.310928571,0.605571429,0.542916667
+1.0cd8+4.0cd4-3.5cd11b_gr1,0.638852381,0.616666667,0.588316306,0.409280952,0.469,0.396614286,0.558380952,0.542833333
-1.5cd8+4.0cd4-3.0cd11b_gr1,0.604966667,0.738,0.644674026,0.374771429,0.347666667,0.326587302,0.590238095,0.542833333
+3.5cd8-2.5cd4-6.0cd11b_gr1,0.639366667,0.469333333,0.511138095,0.429657143,0.616333333,0.483028571,0.527142857,0.542833333
-5.0cd8-4.5cd4-3.5cd11b_gr1,0.505566667,0.167333333,0.242593651,0.404004762,0.918,0.555819048,0.456666667,0.542666667
-2.5cd8+3.5cd4-5.5cd11b_gr1,0.586471429,0.583,0.550751515,0.425652381,0.502333333,0.414428571,0.552619048,0.542666667
+1.5cd8+1.0cd4+3.0cd11b_gr1,0.574266667,0.316666667,0.388225397,0.412490476,0.768666667,0.524244444,0.492095238,0.542666667
+2.0cd8+1.5cd4+4.0cd11b_gr1,0.574266667,0.316666667,0.388225397,0.412490476,0.768666667,0.524244444,0.492095238,0.542666667
+2.0cd8+1.5cd4+4.5cd11b_gr1,0.574266667,0.316666667,0.388225397,0.412490476,0.768666667,0.524244444,0.492095238,0.542666667
+2.0cd8+5.5cd4+2.0cd11b_gr1,0.562566667,0.3315,0.38622381,0.410504762,0.753666667,0.513111111,0.499428571,0.542583333
+1.0cd8-5.0cd4-1.5cd11b_gr1,0.5397,0.229833333,0.305880952,0.406104762,0.855333333,0.542887302,0.474238095,0.542583333
+1.5cd8-4.0cd4+3.0cd11b_gr1,0.604680952,0.7355,0.643479221,0.376271429,0.349666667,0.328301587,0.589666667,0.542583333
+0.5cd8+5.5cd4+1.5cd11b_gr1,0.56217619,0.3975,0.433992641,0.418580952,0.687333333,0.493433333,0.512238095,0.542416667
-2.0cd8+5.5cd4+2.5cd11b_gr1,0.440633333,0.141,0.207342857,0.404871429,0.943666667,0.561611111,0.451238095,0.542333333
-1.5cd8+4.5cd4+2.0cd11b_gr1,0.440633333,0.141,0.207342857,0.404871429,0.943666667,0.561611111,0.451238095,0.542333333
-1.5cd8+5.5cd4+2.5cd11b_gr1,0.440633333,0.141,0.207342857,0.404871429,0.943666667,0.561611111,0.451238095,0.542333333
-1.0cd8-4.0cd4+3.5cd11b_gr1,0.638352381,0.615666667,0.587482973,0.408747619,0.469,0.396280952,0.557809524,0.542333333
-1.0cd8+3.5cd4+1.5cd11b_gr1,0.440633333,0.141,0.207342857,0.404871429,0.943666667,0.561611111,0.451238095,0.542333333
-3.5cd8-2.0cd4-5.0cd11b_gr1,0.576733333,0.306,0.379442857,0.406657143,0.778666667,0.522649206,0.489047619,0.542333333
-2.0cd8-3.0cd4-5.5cd11b_gr1,0.5806,0.314333333,0.387130159,0.419657143,0.770333333,0.529763492,0.491190476,0.542333333
+1.5cd8-5.0cd4-0.5cd11b_gr1,0.598733333,0.310666667,0.37758254,0.400871429,0.773666667,0.511290476,0.490428571,0.542166667
+2.0cd8+2.0cd4+1.5cd11b_gr1,0.507566667,0.166333333,0.242193651,0.404080952,0.918,0.555849206,0.455571429,0.542166667
+4.0cd8+4.0cd4+3.0cd11b_gr1,0.507566667,0.166333333,0.242193651,0.404080952,0.918,0.555849206,0.455571429,0.542166667
+5.5cd8+5.5cd4+4.0cd11b_gr1,0.507566667,0.166333333,0.242193651,0.404080952,0.918,0.555849206,0.455571429,0.542166667
+0.5cd8-6.0cd4-2.0cd11b_gr1,0.543166667,0.217166667,0.296371429,0.407304762,0.867,0.547001587,0.468666667,0.542083333
+0.5cd8+3.5cd4-4.5cd11b_gr1,0.62222381,0.687833333,0.617330592,0.358214286,0.396333333,0.339511111,0.577190476,0.542083333
+0.5cd8+4.0cd4-5.0cd11b_gr1,0.62222381,0.687833333,0.617330592,0.358214286,0.396333333,0.339511111,0.577190476,0.542083333
-6.0cd8-4.5cd4-2.5cd11b_gr1,0.5195,0.203166667,0.27364127,0.391219048,0.881,0.536295238,0.464095238,0.542083333
-0.5cd8-5.5cd4-1.5cd11b_gr1,0.56217619,0.3975,0.433992641,0.418380952,0.686666667,0.49312381,0.512095238,0.542083333
+1.5cd8+4.0cd4+1.5cd11b_gr1,0.547233333,0.241833333,0.312112698,0.393333333,0.842333333,0.527222222,0.475333333,0.542083333
-1.5cd8+4.5cd4-2.5cd11b_gr1,0.647152381,0.512833333,0.532724964,0.408166667,0.571,0.443461905,0.53552381,0.541916667
-1.0cd8+1.0cd4-4.5cd11b_gr1,0.65287619,0.404166667,0.467091053,0.390180952,0.679666667,0.481587302,0.510904762,0.541916667
+1.0cd8-1.0cd4+4.5cd11b_gr1,0.65287619,0.404166667,0.467091053,0.390180952,0.679666667,0.481587302,0.510904762,0.541916667
+1.0cd8+0.5cd4+2.0cd11b_gr1,0.573533333,0.316166667,0.387660317,0.41162381,0.767666667,0.523277778,0.491285714,0.541916667
+2.0cd8+1.0cd4+4.0cd11b_gr1,0.573533333,0.316166667,0.387660317,0.41162381,0.767666667,0.523277778,0.491285714,0.541916667
+4.5cd8-2.5cd4+4.0cd11b_gr1,0.597014286,0.707833333,0.636326696,0.437590476,0.376,0.37437619,0.583857143,0.541916667
-4.0cd8-2.0cd4-5.5cd11b_gr1,0.5762,0.305,0.378703175,0.406657143,0.778666667,0.522649206,0.488428571,0.541833333
-3.0cd8-1.5cd4-4.0cd11b_gr1,0.5762,0.305,0.378703175,0.406657143,0.778666667,0.522649206,0.488428571,0.541833333
-0.5cd8+0.5cd4-4.0cd11b_gr1,0.6289,0.420666667,0.473766667,0.40652381,0.663,0.485287302,0.516666667,0.541833333
+0.5cd8-0.5cd4+4.0cd11b_gr1,0.6289,0.420666667,0.473766667,0.40652381,0.663,0.485287302,0.516666667,0.541833333
+2.0cd8-2.0cd4-4.5cd11b_gr1,0.635,0.467333333,0.508790476,0.42942381,0.616,0.482773016,0.525761905,0.541666667
+2.0cd8+1.0cd4+4.5cd11b_gr1,0.573533333,0.315666667,0.387126984,0.41142381,0.767666667,0.523087302,0.490952381,0.541666667
+4.0cd8+3.0cd4+1.5cd11b_gr1,0.5375,0.231333333,0.303561905,0.393447619,0.852,0.531765079,0.474238095,0.541666667
+4.5cd8+3.0cd4+2.0cd11b_gr1,0.519766667,0.196,0.272126984,0.402728571,0.887333333,0.547831746,0.462047619,0.541666667
-4.0cd8+1.5cd4+1.0cd11b_gr1,0.624490476,0.6775,0.611624964,0.428,0.405333333,0.371203175,0.57347619,0.541416667
-3.5cd8+0.5cd4+2.0cd11b_gr1,0.652590476,0.579333333,0.575500289,0.392133333,0.503333333,0.410965079,0.547619048,0.541333333
+1.5cd8-5.5cd4+3.0cd11b_gr1,0.646552381,0.511666667,0.530413853,0.401733333,0.571,0.440055556,0.535047619,0.541333333
-3.5cd8-2.5cd4-6.0cd11b_gr1,0.582966667,0.327666667,0.39812381,0.407033333,0.755,0.516344444,0.493714286,0.541333333
+4.0cd8+4.5cd4+3.0cd11b_gr1,0.5007,0.161333333,0.235206349,0.400166667,0.921,0.55332381,0.454952381,0.541166667
-1.0cd8-6.0cd4+3.5cd11b_gr1,0.627714286,0.635833333,0.595148196,0.394114286,0.446333333,0.380561905,0.563904762,0.541083333
+0.5cd8-3.5cd4+1.0cd11b_gr1,0.638995238,0.459833333,0.496379509,0.398295238,0.622333333,0.459892063,0.520428571,0.541083333
-4.0cd8+2.0cd4+5.0cd11b_gr1,0.6486,0.448833333,0.495231746,0.413057143,0.633,0.478633333,0.519666667,0.540916667
-2.0cd8+1.0cd4+2.5cd11b_gr1,0.6486,0.448833333,0.495231746,0.413057143,0.633,0.478633333,0.519666667,0.540916667
-1.0cd8+4.5cd4-2.5cd11b_gr1,0.642619048,0.512166667,0.53115671,0.409542857,0.569666667,0.44401746,0.534285714,0.540916667
+0.5cd8-5.0cd4-1.5cd11b_gr1,0.551266667,0.235333333,0.312266667,0.405485714,0.846333333,0.539490476,0.472190476,0.540833333
-3.0cd8-2.0cd4-5.0cd11b_gr1,0.5823,0.326666667,0.397171429,0.4067,0.755,0.516077778,0.493047619,0.540833333
-3.0cd8-1.5cd4-5.5cd11b_gr1,0.5652,0.3,0.372512698,0.406480952,0.781666667,0.523163492,0.486238095,0.540833333
-3.0cd8-1.5cd4-5.0cd11b_gr1,0.5652,0.3,0.372512698,0.406480952,0.781666667,0.523163492,0.486238095,0.540833333
-2.0cd8-1.0cd4-3.5cd11b_gr1,0.5652,0.3,0.372512698,0.406480952,0.781666667,0.523163492,0.486238095,0.540833333
-1.5cd8-1.0cd4-2.5cd11b_gr1,0.5823,0.326666667,0.397171429,0.4067,0.755,0.516077778,0.493047619,0.540833333
-0.5cd8+0.5cd4-5.5cd11b_gr1,0.612366667,0.398,0.454471429,0.416880952,0.683666667,0.498561905,0.510428571,0.540833333
+0.5cd8-0.5cd4+5.5cd11b_gr1,0.612366667,0.398,0.454471429,0.416880952,0.683666667,0.498561905,0.510428571,0.540833333
+0.5cd8+1.0cd4+2.0cd11b_gr1,0.593766667,0.336333333,0.406852381,0.416390476,0.745333333,0.520777778,0.497,0.540833333
+1.0cd8+2.0cd4+4.0cd11b_gr1,0.593766667,0.336333333,0.406852381,0.416390476,0.745333333,0.520777778,0.497,0.540833333
+1.5cd8+5.0cd4+1.5cd11b_gr1,0.564766667,0.360333333,0.407798413,0.418814286,0.721333333,0.504979365,0.503619048,0.540833333
-2.0cd8-6.0cd4-2.0cd11b_gr1,0.559233333,0.325666667,0.382790476,0.415233333,0.755666667,0.51745873,0.495619048,0.540666667
-1.5cd8+0.5cd4-5.5cd11b_gr1,0.6245,0.403333333,0.462053968,0.407761905,0.678,0.491231746,0.511666667,0.540666667
-1.0cd8-4.0cd4+2.5cd11b_gr1,0.626485714,0.649333333,0.600618759,0.380980952,0.432,0.367761905,0.566619048,0.540666667
-1.0cd8-3.0cd4-1.0cd11b_gr1,0.559233333,0.325666667,0.382790476,0.415233333,0.755666667,0.51745873,0.495619048,0.540666667
-0.5cd8-1.5cd4-0.5cd11b_gr1,0.559233333,0.325666667,0.382790476,0.415233333,0.755666667,0.51745873,0.495619048,0.540666667
+1.5cd8-0.5cd4+5.5cd11b_gr1,0.6245,0.403333333,0.462053968,0.407761905,0.678,0.491231746,0.511666667,0.540666667
-2.5cd8+1.5cd4-6.0cd11b_gr1,0.62357619,0.367,0.42931645,0.382495238,0.714333333,0.485774603,0.499857143,0.540666667
-2.0cd8+1.0cd4-4.5cd11b_gr1,0.620842857,0.362666667,0.424887879,0.383671429,0.718666667,0.487836508,0.498571429,0.540666667
+2.0cd8-1.0cd4+4.5cd11b_gr1,0.620842857,0.362666667,0.424887879,0.383671429,0.718666667,0.487836508,0.498571429,0.540666667
-0.5cd8+3.5cd4-1.0cd11b_gr1,0.638661905,0.458833333,0.495779509,0.398295238,0.622333333,0.459892063,0.519761905,0.540583333
+2.0cd8-1.0cd4-2.5cd11b_gr1,0.64877619,0.448833333,0.494833911,0.41152381,0.632,0.47717619,0.519285714,0.540416667
+4.0cd8-2.0cd4-5.0cd11b_gr1,0.64877619,0.448833333,0.494833911,0.41152381,0.632,0.47717619,0.519285714,0.540416667
-0.5cd8-6.0cd4-2.0cd11b_gr1,0.539166667,0.213333333,0.291352381,0.403195238,0.867,0.54345873,0.467285714,0.540166667
-5.5cd8+1.5cd4+0.5cd11b_gr1,0.613933333,0.827666667,0.697145455,0.414133333,0.252666667,0.292604762,0.607857143,0.540166667
-1.0cd8+5.0cd4+1.5cd11b_gr1,0.532866667,0.226833333,0.302380952,0.405104762,0.853333333,0.541534921,0.471333333,0.540083333
-0.5cd8+2.0cd4-6.0cd11b_gr1,0.63707619,0.422166667,0.473465657,0.388642857,0.658,0.470357143,0.513809524,0.540083333
-6.0cd8+2.5cd4+3.5cd11b_gr1,0.646852381,0.454166667,0.482463203,0.343828571,0.626,0.432066667,0.518142857,0.540083333
-1.0cd8-0.5cd4-6.0cd11b_gr1,0.618633333,0.3435,0.418774603,0.41042381,0.736666667,0.514295238,0.495952381,0.540083333
-1.0cd8-0.5cd4-5.5cd11b_gr1,0.618633333,0.3435,0.418774603,0.41042381,0.736666667,0.514295238,0.495952381,0.540083333
-1.0cd8-0.5cd4-5.0cd11b_gr1,0.618633333,0.3435,0.418774603,0.41042381,0.736666667,0.514295238,0.495952381,0.540083333
+1.0cd8+0.5cd4+5.0cd11b_gr1,0.618633333,0.3435,0.418774603,0.41042381,0.736666667,0.514295238,0.495952381,0.540083333
+1.0cd8+0.5cd4+5.5cd11b_gr1,0.618633333,0.3435,0.418774603,0.41042381,0.736666667,0.514295238,0.495952381,0.540083333
+1.0cd8+4.0cd4-2.5cd11b_gr1,0.626014286,0.650833333,0.600815729,0.377647619,0.429333333,0.364828571,0.566333333,0.540083333
+3.5cd8-1.5cd4-1.0cd11b_gr1,0.625457143,0.6775,0.61199798,0.4242,0.402333333,0.368198413,0.572095238,0.539916667
-3.5cd8-2.0cd4-5.5cd11b_gr1,0.5644,0.301,0.372871429,0.405147619,0.778666667,0.521296825,0.485857143,0.539833333
-0.5cd8+4.0cd4-3.5cd11b_gr1,0.612552381,0.623,0.575963203,0.391138095,0.456333333,0.378460317,0.557666667,0.539666667
+1.5cd8-4.5cd4+2.5cd11b_gr1,0.645952381,0.513333333,0.532204329,0.3995,0.566,0.437328571,0.534190476,0.539666667
+3.5cd8+3.5cd4+2.5cd11b_gr1,0.4833,0.154,0.226755556,0.404257143,0.925333333,0.557473016,0.451666667,0.539666667
-2.5cd8+3.0cd4-5.5cd11b_gr1,0.584104762,0.557333333,0.533215007,0.409985714,0.522,0.415414286,0.544714286,0.539666667
-2.0cd8+2.5cd4-4.5cd11b_gr1,0.584104762,0.557333333,0.533215007,0.409985714,0.522,0.415414286,0.544714286,0.539666667
-2.0cd8+3.0cd4-5.5cd11b_gr1,0.584104762,0.557333333,0.533215007,0.409985714,0.522,0.415414286,0.544714286,0.539666667
-1.5cd8+2.0cd4-3.5cd11b_gr1,0.584104762,0.557333333,0.533215007,0.409985714,0.522,0.415414286,0.544714286,0.539666667
-1.0cd8-4.5cd4+3.0cd11b_gr1,0.629428571,0.629833333,0.593739105,0.391357143,0.449,0.380666667,0.560428571,0.539416667
-0.5cd8-6.0cd4+3.5cd11b_gr1,0.625604762,0.637166667,0.594342857,0.391980952,0.441666667,0.377101587,0.563142857,0.539416667
-0.5cd8+4.5cd4-0.5cd11b_gr1,0.589666667,0.393833333,0.439028571,0.414404762,0.685,0.49147619,0.506952381,0.539416667
-0.5cd8+5.0cd4-0.5cd11b_gr1,0.589666667,0.393833333,0.439028571,0.414404762,0.685,0.49147619,0.506952381,0.539416667
+1.5cd8-2.0cd4+3.5cd11b_gr1,0.583571429,0.558833333,0.533653102,0.409319048,0.52,0.414214286,0.545047619,0.539416667
+2.0cd8-3.0cd4+5.5cd11b_gr1,0.583571429,0.558833333,0.533653102,0.409319048,0.52,0.414214286,0.545047619,0.539416667
+2.0cd8-2.5cd4+4.5cd11b_gr1,0.583571429,0.558833333,0.533653102,0.409319048,0.52,0.414214286,0.545047619,0.539416667
