Feature,Precision_Clase_0,Recall_Clase_0,F1_Clase_0,Precision_Clase_1,Recall_Clase_1,F1_Clase_1,Accuracy,AUC_ROC
+5.5cd8+2.0cd4-2.5cd11b_gr1,0.889933333,0.797166667,0.821044444,0.728233333,0.794,0.727890476,0.798238095,0.795583333
-5.0cd8-1.5cd4+1.5cd11b_gr1,0.88337619,0.787833333,0.81608153,0.7082,0.798,0.729457143,0.793285714,0.792916667
+5.0cd8+1.5cd4-1.5cd11b_gr1,0.88337619,0.787833333,0.81608153,0.7082,0.798,0.729457143,0.793285714,0.792916667
-5.5cd8-2.0cd4+2.5cd11b_gr1,0.889666667,0.790833333,0.816942857,0.7219,0.794,0.724119048,0.794238095,0.792416667
-5.5cd8-1.5cd4+1.5cd11b_gr1,0.882685714,0.790166667,0.81643925,0.701866667,0.793666667,0.724590476,0.792619048,0.791916667
-3.5cd8-1.0cd4+1.0cd11b_gr1,0.882685714,0.790166667,0.81643925,0.701866667,0.793666667,0.724590476,0.792619048,0.791916667
+3.5cd8+1.0cd4-1.0cd11b_gr1,0.882685714,0.790166667,0.81643925,0.701866667,0.793666667,0.724590476,0.792619048,0.791916667
+5.5cd8+1.5cd4-1.5cd11b_gr1,0.882685714,0.790166667,0.81643925,0.701866667,0.793666667,0.724590476,0.792619048,0.791916667
-6.0cd8-1.5cd4+1.5cd11b_gr1,0.882485714,0.790166667,0.816296392,0.700866667,0.793,0.723790476,0.792285714,0.791583333
-4.0cd8-1.0cd4+1.0cd11b_gr1,0.882485714,0.790166667,0.816296392,0.700866667,0.793,0.723790476,0.792285714,0.791583333
-2.0cd8-0.5cd4+0.5cd11b_gr1,0.882485714,0.790166667,0.816296392,0.700866667,0.793,0.723790476,0.792285714,0.791583333
+2.0cd8+0.5cd4-0.5cd11b_gr1,0.882485714,0.790166667,0.816296392,0.700866667,0.793,0.723790476,0.792285714,0.791583333
+4.0cd8+1.0cd4-1.0cd11b_gr1,0.882485714,0.790166667,0.816296392,0.700866667,0.793,0.723790476,0.792285714,0.791583333
-4.5cd8-1.0cd4+1.0cd11b_gr1,0.892533333,0.746833333,0.794612698,0.702833333,0.832,0.7394,0.780714286,0.789416667
+4.5cd8+1.0cd4-1.0cd11b_gr1,0.892533333,0.746833333,0.794612698,0.702833333,0.832,0.7394,0.780714286,0.789416667
-6.0cd8-1.0cd4+1.5cd11b_gr1,0.892433333,0.735833333,0.787311111,0.693633333,0.832,0.733928571,0.774809524,0.783916667
-5.5cd8-3.0cd4+1.5cd11b_gr1,0.847852381,0.826,0.821228139,0.748133333,0.739333333,0.71627619,0.79252381,0.782666667
+5.5cd8+3.0cd4-1.5cd11b_gr1,0.847852381,0.826,0.821228139,0.748133333,0.739333333,0.71627619,0.79252381,0.782666667
+3.5cd8+1.5cd4-2.0cd11b_gr1,0.880409524,0.774166667,0.804008514,0.694333333,0.790666667,0.714733333,0.781714286,0.782416667
-1.5cd8-1.5cd4+3.5cd11b_gr1,0.841166667,0.831833333,0.823720635,0.7523,0.724333333,0.711526984,0.790857143,0.778083333
+1.5cd8+1.5cd4-3.5cd11b_gr1,0.841166667,0.831833333,0.823720635,0.7523,0.724333333,0.711526984,0.790857143,0.778083333
+2.5cd8+2.5cd4-6.0cd11b_gr1,0.841166667,0.831833333,0.823720635,0.7523,0.724333333,0.711526984,0.790857143,0.778083333
-5.0cd8-3.5cd4+2.0cd11b_gr1,0.840633333,0.807333333,0.804736508,0.7526,0.745,0.715585714,0.783857143,0.776166667
